State_Full,Total_Revenue,AOV,Session_Count,Avg_kWh,State_Abbr,EV_Count,Station_Count,Elec_Price,ROI_Score,Priority_Score
37.443676,94107.0,94107.0,1.0,3.471,0,0.0,0.0,0.0,94107.0,100.0
623575,25499.5312,25499.5312,1.0,94303.0,0,0.0,0.0,0.0,25499.5312,27.096317170879956
Pacific Noncontiguous,0.0,0.0,0.0,0.0,0,0.0,0.0,31.62,31.62,0.03360005100577003
Rhode Island,0.0,0.0,0.0,0.0,0,0.0,0.0,24.15,24.15,0.02566227804520386
New England,0.0,0.0,0.0,0.0,0,0.0,0.0,23.03,23.03,0.024472143411223394
Pacific Contiguous,0.0,0.0,0.0,0.0,0,0.0,0.0,20.79,20.79,0.022091874143262455
Maine,0.0,0.0,0.0,0.0,0,0.0,0.0,19.66,19.66,0.020891113307192878
Vermont,0.0,0.0,0.0,0.0,0,0.0,0.0,18.41,18.41,0.019562838046053962
District of Columbia,0.0,0.0,0.0,0.0,0,0.0,0.0,16.88,16.88,0.017937029126419923
Middle Atlantic,0.0,0.0,0.0,0.0,0,0.0,0.0,16.11,16.11,0.017118811565558355
